,year,geoid,pollutant,emissions,vmt,sourcehours,vehicles,starts,idlehours,hoteld,hotelb,hotelo,by,sourcetype,regclass,fueltype,roadtype,table
123,2050.0,1027,98.0,77911.60087,204269210.46,4235009.7235,15990.096025,17966624.2981,0.0,0.0,0.0,0.0,16,,,,,d01027
124,2055.0,1027,98.0,81000.47718000002,211043051.08,4376752.505700001,16302.038526,18498535.5107,0.0,0.0,0.0,0.0,16,,,,,d01027
125,2060.0,1027,98.0,84442.40105999999,218137931.27,4525366.1948,16634.180070000002,19072282.9058,0.0,0.0,0.0,0.0,16,,,,,d01027
126,2020.0,1029,98.0,345590.0689134201,561073056.018012,9416668.788664203,42959.585077463,61703478.9016202,318409.72599999997,23885.977,0.0,85574.041,16,,,,,d01029
127,2025.0,1029,98.0,323263.90183313016,577882615.5701058,9699751.561449995,44360.554997333995,64025101.8710766,274507.8789,63605.5,13943.437,88014.1247,16,,,,,d01029
128,2030.0,1029,98.0,304028.54381822015,598100212.327257,10039911.551392658,45430.13301778,65933978.1993483,227738.480118,103993.38,31034.016,90691.69003,16,,,,,d01029
129,2035.0,1029,98.0,293391.0159135861,614544198.225005,10317090.205610592,46334.252963912,67686005.20409144,197706.39952634,131471.49,44890.880000000005,93517.14238158,16,,,,,d01029
130,2040.0,1029,98.0,294207.20270801,636353541.9419309,10684492.5720164,47265.83096177701,69544251.8038736,186136.76,147653.45,53397.32,96796.86,16,,,,,d01029
131,2045.0,1029,98.0,300609.8263000001,659859235.2,11080278.858500002,48441.199344,71814382.976,183777.3,157868.1,58417.84,100015.68,16,,,,,d01029
132,2050.0,1029,98.0,310992.13979999995,683820303.4000001,11483969.410299998,49570.366138,74114544.245,186656.2,164939.1,61603.759999999995,103299.96,16,,,,,d01029
133,2055.0,1029,98.0,323065.02196999994,707304567.81,11879957.0507,50596.858309,76308694.781,191793.31,170441.89,63868.93,106526.31,16,,,,,d01029
134,2060.0,1029,98.0,336499.0511600001,731980112.1899999,12296170.7308,51690.509631,78675512.22399999,197790.57,175813.62,65930.16,109883.76,16,,,,,d01029
135,2020.0,1031,98.0,312021.43838526995,606414333.0879741,16688239.248523204,50723.451508959,59787445.6791749,0.0,0.0,0.0,0.0,16,,,,,d01031
136,2025.0,1031,98.0,290446.17748407996,623658115.51451,17159082.166192506,52375.654971196,62036847.17477109,0.0,0.0,0.0,0.0,16,,,,,d01031
137,2030.0,1031,98.0,274415.7877775701,645211174.353581,17758645.1748512,53638.533712159,63886430.67042991,0.0,0.0,0.0,0.0,16,,,,,d01031
138,2035.0,1031,98.0,265688.989256593,662318825.9818299,18243398.598363303,54717.8098734613,65584158.114695325,0.0,0.0,0.0,0.0,16,,,,,d01031
